name,symbol,totalValueLockedUSD,txCount,volumeUSD,feesUSD
Wrapped Ether,WETH,1344301749.8341544,12210729,447501256792.816,847677498.2032607
USD Coin,USDC,753234564.951088,3608007,317652098152.63824,338039924.2759329
Tether USD,USDT,361677029.334046,1938874,94907876483.84476,107905834.31910428
Dai Stablecoin,DAI,363085848.9281657,835006,48863536005.68571,48072124.69995593
Fei USD,FEI,42833103.07371274,56421,9562012746.860474,8789288.507441955
Wrapped UST Token,UST,7734893.190538136,74294,7512267677.170628,2153786.001212736
LooksRare Token,LOOKS,16666227.70865839,265440,5368613580.415585,20000546.93297779
ApeCoin,APE,35866759.363011315,215028,5301415373.765111,23030328.27403341
