type,totalValueLockedUSD,txCount,volumeUSD,feesUSD
Stablecoins,1528565439.4775505,6512602.0,478497791066.1999,504960957.8036478
Not Stablecoins,1396834736.9058242,12691197.0,458171285746.9967,890708373.4102719
